כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
צופית 22,85,08/05/2002,"595,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,28/12/2001,"762,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,25/12/2001,"647,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,16/12/2001,"1,026,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,22/10/2001,"765,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,05/07/2001,"709,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,15/05/2001,"665,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,04/05/2001,"690,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,22/09/2022,חלק נמכר,11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,מחיר,1,11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,33%,"198,000 ₪",11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,2,33%,11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
צופית 22,85,"198,000 ₪",3,11193-258-0,דירת גן,4,שניה,2001,"7,059 ₪",6
בת חן 21,85.2,07/09/2022,"2,280,000 ₪",11193-321-2,דירה בבית קומות,4,ראשונה,2003,"26,761 ₪",4
צופית 10,89.56,31/08/2022,"1,765,000 ₪",11193-301-3,דירה בבית קומות,4,ראשונה,2002,"19,831 ₪",3
צופית 10,89.56,16/07/2014,"1,750,000 ₪",11193-301-3,דירה בבית קומות,4,ראשונה,2002,"19,831 ₪",3
צופית 10,89.56,17/05/2009,"1,040,000 ₪",11193-301-3,דירה בבית קומות,4,ראשונה,2002,"19,831 ₪",3
צופית 10,89.56,28/03/2004,"920,000 ₪",11193-301-3,דירה בבית קומות,4,ראשונה,2002,"19,831 ₪",3
בת חן 21,95.22,18/07/2022,"1,830,000 ₪",11193-321-3,דירה בבית קומות,4,שניה,2003,"19,263 ₪",4
בת חן 21,95.22,29/04/2013,"1,690,000 ₪",11193-321-3,דירה בבית קומות,4,שניה,2003,"19,263 ₪",4
בת חן 52,133.76,30/06/2022,"2,270,000 ₪",11193-286-8,דירה בבית קומות,5,רביעית וחמישית,2008,"16,971 ₪",3
צופית 13,100.18,29/06/2022,"1,675,000 ₪",11193-261-2,דירה בבית קומות,5,ראשונה,2002,"16,720 ₪",5
דוכיפת 9,982,02/06/2022,"6,951,000 ₪",11193-343-1,קרקע למגורים,לא ידוע,לא ידוע,0,"7,078 ₪",0
בת חן 44,91.29,31/05/2022,"2,000,000 ₪",11193-282-2,דירה בבית קומות,4,ראשונה,1999,"21,978 ₪",4
בת חן 44,91.29,28/06/2018,"1,676,000 ₪",11193-282-2,דירה בבית קומות,4,ראשונה,1999,"21,978 ₪",4
בת חן 44,91.29,02/12/2015,"1,800,000 ₪",11193-282-2,דירה בבית קומות,4,ראשונה,1999,"21,978 ₪",4
בת חן 44,91.29,21/04/2009,"950,000 ₪",11193-282-2,דירה בבית קומות,4,ראשונה,1999,"21,978 ₪",4
בת חן 44,91.29,06/01/1999,"983,000 ₪",11193-282-2,דירה בבית קומות,4,ראשונה,1999,"21,978 ₪",4
בת חן 44,88.48,31/03/2022,"1,990,000 ₪",11193-282-4,דירה בבית קומות,4,שניה,1999,"22,614 ₪",4
בת חן 44,88.48,22/12/1999,"1,002,000 ₪",11193-282-4,דירה בבית קומות,4,שניה,1999,"22,614 ₪",4
בת חן 7,38.3,03/03/2022,"690,000 ₪",11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
בת חן 7,38.3,07/09/2014,"600,000 ₪",11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
בת חן 7,38.3,01/01/2014,"420,000 ₪",11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
בת חן 7,38.3,03/03/2022,חלק נמכר,11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
בת חן 7,38.3,מחיר,1,11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
בת חן 7,38.3,50%,"345,000 ₪",11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
בת חן 7,38.3,2,50%,11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
בת חן 7,38.3,"345,000 ₪","690,000 ₪",11193-337-21,משרד,לא ידוע,קרקע,2014,"18,158 ₪",5
צופית 9,58.5,23/02/2022,"154,000 ₪",11193-263-5,דירה בבית קומות,3,שלישית,1984,"2,632 ₪",4
צופית 13,157.31,10/02/2022,"2,320,000 ₪",11193-261-4,דירה בבית קומות,6,שלישית וקומת גג,2002,"14,777 ₪",5
צופית 13,157.31,22/02/2012,"1,500,000 ₪",11193-261-4,דירה בבית קומות,6,שלישית וקומת גג,2002,"14,777 ₪",5
דוכיפת 16,112,08/02/2022,"1,960,000 ₪",11193-298-2,דירה בבית קומות,5,ראשונה,1999,"17,500 ₪",2
צופית 17,113.17,27/01/2022,"2,320,000 ₪",11193-259-7,דירת גג,5,רביעית חמישית,2000,"20,531 ₪",3
צופית 17,113.17,07/01/2015,"2,300,000 ₪",11193-259-7,דירת גג,5,רביעית חמישית,2000,"20,531 ₪",3
צופית 17,113.17,05/09/2000,"1,126,000 ₪",11193-259-7,דירת גג,5,רביעית חמישית,2000,"20,531 ₪",3
דוכיפת 10,139.45,03/01/2022,"2,840,000 ₪",11193-295-4,דירת גן,5,ראשונה,2008,"20,366 ₪",4
צופית 10,112.32,19/12/2021,"2,150,000 ₪",11193-301-7,דירה בבית קומות,5,שלישית ורביעית,2002,"19,196 ₪",3
צופית 10,112.32,07/12/2003,"1,132,000 ₪",11193-301-7,דירה בבית קומות,5,שלישית ורביעית,2002,"19,196 ₪",3
