כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
דובנוב 5,62,07/09/2005,"337,000 ₪",11196-79-5,דירה בבית קומות,3,ראשונה,1960,"15,565 ₪",7
ללא כתובת,84,08/03/2021,"1,250,000 ₪",11196-12-23,דירה בבית קומות,4,שניה,0,"14,881 ₪",0
חביבה 15,98,07/03/2021,"1,590,000 ₪",11196-5-67,דירה בבית קומות,4,שלישית,2017,"16,224 ₪",9
ללא כתובת,125,28/02/2021,"1,670,000 ₪",11196-12-24,דירה בבית קומות,5,ראשונה,0,"13,360 ₪",0
זלמן שניאור 28,47.27,23/02/2021,"840,000 ₪",11194-296-6,דירה בבית קומות,3,שניה,1960,"17,872 ₪",4
זלמן שניאור 28,47.27,18/02/2003,"415,000 ₪",11194-296-6,דירה בבית קומות,3,שניה,1960,"17,872 ₪",4
זלמן שניאור 28,47.27,22/11/2001,"400,000 ₪",11194-296-6,דירה בבית קומות,3,שניה,1960,"17,872 ₪",4
זלמן שניאור 73,62.8,23/02/2021,"970,000 ₪",11194-294-50,דירה בבית קומות,3,ראשונה,1960,"15,645 ₪",3
זלמן שניאור 73,62.8,22/12/2013,"880,000 ₪",11194-294-50,דירה בבית קומות,3,ראשונה,1960,"15,645 ₪",3
זלמן שניאור 73,62.8,01/06/2000,"515,000 ₪",11194-294-50,דירה בבית קומות,3,ראשונה,1960,"15,645 ₪",3
זלמן שניאור 69,62.8,22/02/2021,"1,020,000 ₪",11194-294-19,דירה בבית קומות,3,ראשונה,1960,"16,452 ₪",3
זלמן שניאור 69,62.8,15/09/2014,"860,000 ₪",11194-294-19,דירה בבית קומות,3,ראשונה,1960,"16,452 ₪",3
זלמן שניאור 69,62.8,30/04/1999,"540,000 ₪",11194-294-19,דירה בבית קומות,3,ראשונה,1960,"16,452 ₪",3
פיכמן 16,45.5,19/02/2021,"835,000 ₪",11196-18-23,דירה בבית קומות,3,שלישית,1960,"18,556 ₪",3
פיכמן 16,45.5,23/07/2015,"860,000 ₪",11196-18-23,דירה בבית קומות,3,שלישית,1960,"18,556 ₪",3
פיכמן 16,45.5,23/12/2012,"620,000 ₪",11196-18-23,דירה בבית קומות,3,שלישית,1960,"18,556 ₪",3
זלמן שניאור 1,23,15/02/2021,"147,000 ₪",11196-26-29,משרד,לא ידוע,לא ידוע,2018,"6,391 ₪",6
אינרנשויונל 52,50,14/02/2021,"1,000,000 ₪",11196-24-8,דירה בבית קומות,3,שלישית,1960,"20,000 ₪",3
אינרנשויונל 52,50,07/06/2017,"890,000 ₪",11196-24-8,דירה בבית קומות,3,שלישית,1960,"20,000 ₪",3
אינרנשויונל 52,50,10/10/2016,"745,000 ₪",11196-24-8,דירה בבית קומות,3,שלישית,1960,"20,000 ₪",3
ללא כתובת,100,14/02/2021,"1,540,000 ₪",11196-12-25,דירה בבית קומות,4,שישית,0,"15,400 ₪",0
בורוכוב 3,58,08/02/2021,"544,000 ₪",11200-214-3,דירה בבית קומות,2,ראשונה,1950,"9,379 ₪",1
יהודה בורלא 23,62.7,08/02/2021,"925,000 ₪",11194-357-26,דירה בבית קומות,3,שביעית,1970,"14,753 ₪",9
ללא כתובת,110,05/02/2021,"1,340,000 ₪",11200-320-3,דירה בבית קומות,5,ראשונה,0,"12,182 ₪",0
ללא כתובת,77,03/02/2021,"1,240,000 ₪",11196-12-26,דירה בבית קומות,4,שניה,0,"16,104 ₪",0
דובנוב 7,61.4,01/02/2021,"960,000 ₪",11196-80-2,דירה בבית קומות,3,קרקע,1960,"15,738 ₪",6
דובנוב 7,61.4,27/11/2011,"605,000 ₪",11196-80-2,דירה בבית קומות,3,קרקע,1960,"15,738 ₪",6
חביבה 38,82,28/01/2021,"1,000,000 ₪",11194-253-73,דירה בבית קומות,3,שישית,2017,"12,195 ₪",10
ללא כתובת,70,28/01/2021,"1,300,000 ₪",11196-12-27,דירה בבית קומות,3,חמישית,0,"18,571 ₪",0
זלמן שניאור 1,123,27/01/2021,"1,735,000 ₪",11196-26-28,דירה בבית קומות,5,שישית,2018,"14,106 ₪",6
זלמן שניאור 18,56.78,27/01/2021,"860,000 ₪",11194-269-7,דירה בבית קומות,3,שישית,1960,"15,357 ₪",6
זלמן שניאור 18,56.78,29/11/2016,"759,000 ₪",11194-269-7,דירה בבית קומות,3,שישית,1960,"15,357 ₪",6
זלמן שניאור 18,56.78,06/07/2006,"327,000 ₪",11194-269-7,דירה בבית קומות,3,שישית,1960,"15,357 ₪",6
ללא כתובת,64.7,27/01/2021,"1,190,000 ₪",11194-238-33,דירה בבית קומות,3,קומה 4,0,"18,594 ₪",0
ללא כתובת,64.7,02/09/2010,"400,000 ₪",11194-238-33,דירה בבית קומות,3,קומה 4,0,"18,594 ₪",0
חביבה 28,48.6,17/01/2021,"830,000 ₪",11194-280-80,דירה בבית קומות,2,שלישית,1960,"17,078 ₪",4
אינרנשויונל 18,50,15/01/2021,"1,000,000 ₪",11200-191-2,דירה בבית קומות,3,ראשונה,1950,"20,000 ₪",2
ללא כתובת,122,14/01/2021,"1,670,000 ₪",11196-12-28,דירה בבית קומות,5,שביעית,0,"13,689 ₪",0
זלמן שניאור 69,62.8,14/01/2021,"1,040,000 ₪",11194-294-36,דירה בבית קומות,3,שלישית,1960,"16,774 ₪",3
זלמן שניאור 69,62.8,23/06/2006,"408,000 ₪",11194-294-36,דירה בבית קומות,3,שלישית,1960,"16,774 ₪",3
זלמן שניאור 69,62.8,30/07/2001,"491,000 ₪",11194-294-36,דירה בבית קומות,3,שלישית,1960,"16,774 ₪",3
ללא כתובת,77,11/01/2021,"1,230,000 ₪",11196-12-29,דירה בבית קומות,4,שניה,0,"15,974 ₪",0
