כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
נווה גנים 19,61.3,16/12/2012,"675,000 ₪",10925-253-90,דירה בבית קומות,3,קומה 2,2012,"11,011 ₪",10
ללא כתובת,65,16/12/2012,"675,000 ₪",10925-208-48,דירה,3,לא ידוע,0,"10,385 ₪",0
ללא כתובת,65,13/12/2012,"670,000 ₪",10925-208-47,דירה,3,לא ידוע,0,"10,308 ₪",0
תענך 2,54.9,06/12/2012,"325,000 ₪",11212-21-54,דירה בבית קומות,3,חמישית,1960,"5,920 ₪",7
יד לבנים 125,68.55,03/12/2012,"650,000 ₪",10878-61-23,דירה בבית קומות,3,שביעית,1996,"9,482 ₪",13
נווה גנים 12,80.27,29/11/2012,"875,000 ₪",10925-214-2,דירה בבית קומות,4,ראשונה,2012,"10,901 ₪",12
ללא כתובת,63,25/11/2012,"640,000 ₪",10925-208-46,דירה,3,לא ידוע,0,"10,159 ₪",0
בשור 122,108,11/11/2012,"391,000 ₪",11213-29-7,דירה בבית קומות,4,שמינית,1970,"3,620 ₪",7
נווה גנים 19,60.1,07/11/2012,"680,000 ₪",10925-253-94,דירה בבית קומות,3,קומה 4,2012,"11,314 ₪",10
ללא כתובת,66,07/11/2012,"680,000 ₪",10925-208-45,דירה,3,לא ידוע,0,"10,303 ₪",0
נווה גנים 17,50.66,30/10/2012,"597,000 ₪",10925-206-4,דירה בבית קומות,3,ראשונה,2006,"11,784 ₪",9
תענך 6,49.9,24/10/2012,"305,000 ₪",11212-21-22,דירה בבית קומות,3,שניה,1960,"6,224 ₪",7
תענך 6,49.9,14/05/2009,"160,000 ₪",11212-21-22,דירה בבית קומות,3,שניה,1960,"6,224 ₪",7
נווה גנים 19,61.2,04/10/2012,"659,000 ₪",10925-253-84,דירה בבית קומות,3,קומה 0,2012,"10,768 ₪",10
ללא כתובת,63,04/10/2012,"659,000 ₪",10925-208-44,דירה,4,לא ידוע,0,"10,460 ₪",0
נווה גנים 12,69.45,04/10/2012,"600,000 ₪",10925-214-16,דירה בבית קומות,3,שישית,2012,"8,639 ₪",12
בשור 65,120,12/09/2012,"680,000 ₪",11251-65-1,דירה בבית קומות,5,לא ידוע,1950,"5,667 ₪",2
נווה גנים 19,58.2,30/08/2012,"581,000 ₪",10925-253-100,דירה בבית קומות,3,קומה 6,2012,"9,983 ₪",10
ללא כתובת,66,30/08/2012,"570,000 ₪",10925-208-43,דירה,3,לא ידוע,0,"8,636 ₪",0
נווה גנים 12,83.72,29/08/2012,"700,000 ₪",10925-214-29,דירה בבית קומות,4,עשירית,2012,"8,361 ₪",12
ללא כתובת,84,29/08/2012,"800,000 ₪",10925-207-35,דירה,4,לא ידוע,0,"9,524 ₪",0
נווה גנים 19,80.1,29/08/2012,"800,000 ₪",10925-253-1,דירה בבית קומות,4,מרתף -1,2012,"9,988 ₪",10
תענך 28,76,16/08/2012,"408,000 ₪",11212-24-113,דירה בבית קומות,4,קרקע,1970,"5,368 ₪",7
תענך 28,76,13/08/2009,"320,000 ₪",11212-24-113,דירה בבית קומות,4,קרקע,1970,"5,368 ₪",7
הרב משאש 7,77,02/08/2012,"410,000 ₪",10925-189-100,דירה בבית קומות,4,שביעית,1970,"5,325 ₪",8
ללא כתובת,63,31/07/2012,"600,000 ₪",10925-208-42,דירה,3,לא ידוע,0,"9,524 ₪",0
תענך 30,76.3,30/07/2012,"390,000 ₪",10878-63-62,דירה בבית קומות,4,שביעית,1980,"5,111 ₪",7
ללא כתובת,66,22/07/2012,"630,000 ₪",10925-208-41,דירה,3,לא ידוע,0,"9,545 ₪",0
ללא כתובת,66,19/07/2012,"650,000 ₪",10925-208-40,דירה,3,לא ידוע,0,"9,848 ₪",0
נווה גנים 21,79.2,17/07/2012,"780,000 ₪",10925-253-53,דירה בבית קומות,4,קומה 3,2009,"9,873 ₪",10
נווה גנים 21,79.2,29/11/2009,"497,000 ₪",10925-253-53,דירה בבית קומות,4,קומה 3,2009,"9,873 ₪",10
הרב משאש 5,73,15/07/2012,"310,000 ₪",10925-189-101,דירה בבית קומות,3.5,שישית,1970,"4,247 ₪",8
נווה גנים 17,63.41,11/07/2012,"650,000 ₪",10925-206-13,דירה בבית קומות,3.5,רביעית,2006,"10,317 ₪",9
נווה גנים 17,63.41,26/09/2006,"445,000 ₪",10925-206-13,דירה בבית קומות,3.5,רביעית,2006,"10,317 ₪",9
תענך 30,76.3,02/07/2012,"410,000 ₪",10878-63-61,דירה בבית קומות,4,שביעית,1980,"5,374 ₪",7
הרב משאש 1,65,01/07/2012,"345,000 ₪",10925-189-102,דירה בבית קומות,3,שמינית,1970,"5,308 ₪",8
נווה גנים 15,72.53,14/06/2012,"710,000 ₪",10925-205-16,דירה בבית קומות,4,רביעית,2008,"9,861 ₪",8
נווה גנים 15,72.53,21/09/2008,"530,000 ₪",10925-205-16,דירה בבית קומות,4,רביעית,2008,"9,861 ₪",8
נווה גנים 17,61.92,31/05/2012,"675,000 ₪",10925-206-27,דירה בבית קומות,3.5,שביעית,2006,"10,901 ₪",9
נווה גנים 17,64.58,07/05/2012,"620,000 ₪",10925-206-35,דירה בבית קומות,4,תשיעית,2006,"9,688 ₪",9
נווה גנים 17,64.58,10/06/2010,"525,000 ₪",10925-206-35,דירה בבית קומות,4,תשיעית,2006,"9,688 ₪",9
נווה גנים 17,64.58,18/05/2009,"471,000 ₪",10925-206-35,דירה בבית קומות,4,תשיעית,2006,"9,688 ₪",9
נווה גנים 21,80,03/05/2012,"790,000 ₪",10925-253-77,דירה בבית קומות,4,קומה 9,2009,"9,875 ₪",10
נווה גנים 21,80,12/11/2009,"539,000 ₪",10925-253-77,דירה בבית קומות,4,קומה 9,2009,"9,875 ₪",10
בשור 122,100,30/04/2012,"585,000 ₪",11213-29-36,דירה בבית קומות,4,ראשונה,1970,"5,850 ₪",7
בשור 122,86,26/03/2012,"400,000 ₪",11213-29-6,דירה בבית קומות,4,שניה,1970,"4,651 ₪",7
המחנך נפחא 59,60,15/03/2012,"550,000 ₪",11251-77-1,קוטג' טורי,3,ראשונה,1950,"9,167 ₪",1
תענך 32,61.4,27/02/2012,"390,000 ₪",10878-63-38,דירה בבית קומות,3,שלישית,1980,"6,352 ₪",7
הרב משאש 3,65,23/02/2012,"374,000 ₪",10925-189-19,דירה בבית קומות,3,שביעית,1970,"5,754 ₪",8
תענך 6,43.2,19/02/2012,"370,000 ₪",11212-21-21,דירה בבית קומות,3,שניה,1960,"8,605 ₪",7
תענך 6,43.2,06/09/2009,"210,000 ₪",11212-21-21,דירה בבית קומות,3,שניה,1960,"8,605 ₪",7
תענך 6,43.2,12/07/2009,"80,000 ₪",11212-21-21,דירה בבית קומות,3,שניה,1960,"8,605 ₪",7
תענך 17,32.1,14/02/2012,"370,000 ₪",11212-29-42,דירה בבית קומות,3,ראשונה,1960,"11,562 ₪",4
תענך 17,32.1,24/03/2010,"305,000 ₪",11212-29-42,דירה בבית קומות,3,ראשונה,1960,"11,562 ₪",4
תענך 17,32.1,17/12/2009,"165,000 ₪",11212-29-42,דירה בבית קומות,3,ראשונה,1960,"11,562 ₪",4
נווה גנים 21,84,02/02/2012,"735,000 ₪",10925-253-62,דירה בבית קומות,5,קומה 5,2009,"8,750 ₪",10
ערד 2,67.3,29/01/2012,"386,000 ₪",11212-22-13,דירה בבית קומות,3,שביעית,1960,"5,736 ₪",6
יד לבנים 125,63.1,19/01/2012,"600,000 ₪",10878-61-39,דירה בבית קומות,3,עשירית,1996,"9,524 ₪",13
יד לבנים 125,63.1,30/11/2008,"387,000 ₪",10878-61-39,דירה בבית קומות,3,עשירית,1996,"9,524 ₪",13
תענך 7,38.3,19/01/2012,"374,000 ₪",11212-29-14,דירה בבית קומות,3,שלישית,1960,"9,842 ₪",4
תענך 7,38.3,מחיר,1,11212-29-14,דירה בבית קומות,3,שלישית,1960,"9,842 ₪",4
תענך 7,38.3,50%,"187,000 ₪",11212-29-14,דירה בבית קומות,3,שלישית,1960,"9,842 ₪",4
תענך 7,38.3,2,50%,11212-29-14,דירה בבית קומות,3,שלישית,1960,"9,842 ₪",4
תענך 7,38.3,"187,000 ₪","374,000 ₪",11212-29-14,דירה בבית קומות,3,שלישית,1960,"9,842 ₪",4
נווה גנים 12,79.62,11/01/2012,"750,000 ₪",10925-214-4,דירה בבית קומות,4,שניה,2012,"9,420 ₪",12
נווה גנים 15,57.84,01/01/2012,"602,000 ₪",10925-205-15,דירה בבית קומות,3,שלישית,2008,"10,408 ₪",8
ללא כתובת,84,18/12/2011,"750,000 ₪",10925-207-34,דירה,4,לא ידוע,0,"8,929 ₪",0
הרב משאש 1,75,16/12/2011,"415,000 ₪",10925-189-18,דירה בבית קומות,3,שביעית,1970,"5,533 ₪",8
תענך 17,38.3,14/12/2011,"285,000 ₪",11212-29-27,דירה בבית קומות,2.5,שניה,1960,"7,441 ₪",4
נווה גנים 12,70.12,07/12/2011,"1,040,000 ₪",10925-214-31,דירה בבית קומות,4,עשירית,2012,"14,832 ₪",12
יד לבנים 125,73.51,30/11/2011,"570,000 ₪",10878-61-44,דירה בבית קומות,3,אחת עשרה,1996,"7,808 ₪",13
יד לבנים 125,73.51,04/06/2007,"446,000 ₪",10878-61-44,דירה בבית קומות,3,אחת עשרה,1996,"7,808 ₪",13
תענך 2,54.9,21/11/2011,"370,000 ₪",11212-21-52,דירה בבית קומות,3,רביעית,1960,"6,852 ₪",7
תענך 2,54.9,20/11/1998,"368,000 ₪",11212-21-52,דירה בבית קומות,3,רביעית,1960,"6,852 ₪",7
תענך 28,76,15/11/2011,"500,000 ₪",11212-24-114,דירה בבית קומות,4,קרקע,1970,"6,579 ₪",7
בשור 122,65,05/10/2011,"390,000 ₪",11213-29-37,דירה בבית קומות,3,חמישית,1970,"6,000 ₪",7
ללא כתובת,84,04/10/2011,"580,456 ₪",10925-207-33,דירה,4,לא ידוע,0,"6,910 ₪",0
התשעה 5,109.36,02/10/2011,"400,000 ₪",11251-17-2,דירה בבית קומות,4.5,ראשונה,1950,"3,658 ₪",1
התשעה 13,42.18,16/09/2011,"180,000 ₪",11213-88-22,דירה בבית קומות,2,שניה,1970,"4,267 ₪",4
הרב משאש 7,80,30/08/2011,"350,000 ₪",10925-189-17,דירה בבית קומות,3,רביעית,1970,"4,375 ₪",8
נווה גנים 19,78.3,25/08/2011,"572,000 ₪",10925-253-34,דירה בבית קומות,4,קומה 8,2012,"7,305 ₪",10
ללא כתובת,84,25/08/2011,"572,850 ₪",10925-207-32,דירה,4,לא ידוע,0,"6,820 ₪",0
נווה גנים 21,80.2,23/08/2011,"720,000 ₪",10925-253-71,דירה בבית קומות,4,קומה 7,2009,"8,978 ₪",10
הרב משאש 5,60,18/07/2011,"350,000 ₪",10925-189-103,דירה בבית קומות,3,חמישית,1970,"5,833 ₪",8
תענך 30,76.3,18/07/2011,"455,000 ₪",10878-63-57,דירה בבית קומות,3.5,חמישית,1980,"5,963 ₪",7
בשור 122,90,14/07/2011,"422,000 ₪",11213-29-5,דירה בבית קומות,4,שניה,1970,"4,689 ₪",7
ללא כתובת,75,21/06/2011,"450,000 ₪",11251-103-2,דירה בבית קומות,3,ראשונה,0,"6,000 ₪",0
ערד 31,40,19/06/2011,"400,000 ₪",11251-9-1,דירה בבית קומות,1,לא ידוע,1960,"10,000 ₪",1
תענך 18,61.01,16/06/2011,"340,000 ₪",11212-24-16,דירה בבית קומות,3,שניה,1960,"5,573 ₪",6
נווה גנים 21,80.2,05/06/2011,"790,000 ₪",10925-253-70,דירה בבית קומות,4,קומה 7,2009,"9,875 ₪",10
נווה גנים 21,80.2,12/11/2009,"551,000 ₪",10925-253-70,דירה בבית קומות,4,קומה 7,2009,"9,875 ₪",10
תענך 32,61.4,02/06/2011,"355,000 ₪",10878-63-35,דירה בבית קומות,3,שניה,1980,"5,782 ₪",7
ערד 45,80,27/05/2011,"525,000 ₪",11251-27-3,דירה בבית קומות,3,ראשונה,1947,"6,562 ₪",1
תענך 36,61.4,15/04/2011,"340,000 ₪",10878-62-30,דירה בבית קומות,3,ראשונה,1970,"5,574 ₪",7
תענך 36,61.4,06/04/2009,"192,000 ₪",10878-62-30,דירה בבית קומות,3,ראשונה,1970,"5,574 ₪",7
תענך 34,76,03/04/2011,"400,000 ₪",10878-63-1,דירה בבית קומות,3,קרקע,1980,"5,263 ₪",7
ללא כתובת,84,03/04/2011,"542,237 ₪",10925-207-31,דירה,4,לא ידוע,0,"6,455 ₪",0
ללא כתובת,84,29/03/2011,"900,000 ₪",10925-207-30,דירה,4,לא ידוע,0,"10,714 ₪",0
נווה גנים 11,82,27/02/2011,"840,000 ₪",10925-203-1,דירה,4,רביעית,2016,"10,244 ₪",8
נווה גנים 19,95.6,20/02/2011,"800,000 ₪",10925-253-39,דירה בבית קומות,5,קומה 9,2012,"8,368 ₪",10
ללא כתובת,110,20/02/2011,"800,000 ₪",10925-207-29,דירה,5,לא ידוע,0,"7,273 ₪",0
בשור 52,114,16/02/2011,"308,000 ₪",11251-57-1,דירה בבית קומות,1.5,לא ידוע,1948,"2,702 ₪",1
ללא כתובת,לא ידוע,13/02/2011,"145,000 ₪",10925-208-66,מחסנים,לא ידוע,לא ידוע,0,לא ידוע,0
תענך 28,61,23/01/2011,"339,000 ₪",11212-24-129,דירה בבית קומות,3,קרקע,1970,"5,557 ₪",7
המחנך נפחא 64,50,13/01/2011,"525,000 ₪",11251-67-2,דירה בבית קומות,2,ראשונה,1948,"10,500 ₪",1
נווה גנים 19,79.9,28/12/2010,"748,000 ₪",10925-253-4,דירה בבית קומות,4,קומה 0,2012,"9,362 ₪",10
ללא כתובת,84,28/12/2010,"748,000 ₪",10925-207-28,דירה,4,לא ידוע,0,"8,905 ₪",0
הרב משאש 5,70,21/12/2010,"340,000 ₪",10925-189-16,דירה בבית קומות,3.5,שניה,1970,"4,857 ₪",8
ללא כתובת,69,20/12/2010,"660,000 ₪",10925-207-27,דירה,3,לא ידוע,0,"9,565 ₪",0
נווה גנים 19,63,20/12/2010,"660,000 ₪",10925-253-13,דירה בבית קומות,3,קומה 2,2012,"10,476 ₪",10
ללא כתובת,69,16/12/2010,"690,000 ₪",10925-207-26,דירה,3,לא ידוע,0,"10,000 ₪",0
ללא כתובת,84,29/11/2010,"465,529 ₪",10925-207-25,דירה,4,לא ידוע,0,"5,542 ₪",0
ללא כתובת,84,24/11/2010,"800,000 ₪",10925-207-24,דירה,4,לא ידוע,0,"9,524 ₪",0
נווה גנים 19,80.3,24/11/2010,"800,000 ₪",10925-253-28,דירה בבית קומות,4,קומה 6,2012,"9,963 ₪",10
נווה גנים 19,79.7,21/11/2010,"750,000 ₪",10925-253-16,דירה בבית קומות,4,קומה 3,2012,"9,410 ₪",10
נווה גנים 19,80.6,21/11/2010,"779,000 ₪",10925-253-6,דירה בבית קומות,4,קומה 1,2012,"9,665 ₪",10
ללא כתובת,84,21/11/2010,"750,000 ₪",10925-207-22,דירה,4,לא ידוע,0,"8,929 ₪",0
