כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
גאולי תימן 4,129.44,06/10/2016,"2,010,000 ₪",10792-216-3,דירה בבית קומות,5,ראשונה,1988,"15,528 ₪",5
סירני 11,137.52,23/08/2016,"2,750,000 ₪",10792-177-1,דירה בבית קומות,6,קרקע וראשונה,1989,"19,997 ₪",1
אלברט שוויצר 29,113.86,23/08/2016,"2,185,000 ₪",10793-79-6,דירה בבית קומות,5,קרקע ראשונה,1990,"19,190 ₪",3
אלברט שוויצר 8,117,30/06/2016,"2,049,000 ₪",10794-113-1,דירה בבית קומות,5,לא ידוע,1980,"17,513 ₪",1
אלברט שוויצר 21,136,29/05/2016,"1,900,000 ₪",10794-126-7,דירה בבית קומות,5,"שלישית, רביעית",1988,"13,971 ₪",2
פרויד 18,141.3,19/05/2016,"1,850,000 ₪",10785-69-7,דירה בבית קומות,6,שניה,1980,"13,093 ₪",5
פרויד 42,69.4,17/04/2016,"1,315,000 ₪",10794-178-18,דירה בבית קומות,3,קומה 5,1980,"19,058 ₪",8
פרויד 42,69.4,02/12/2009,"760,000 ₪",10794-178-18,דירה בבית קומות,3,קומה 5,1980,"19,058 ₪",8
פרץ ברנשטיין 6,108.02,13/04/2016,"1,950,000 ₪",10794-115-7,דירה בבית קומות,5,שניה,1987,"18,052 ₪",3
גיבורי גטו ורשה 11,180,11/04/2016,"3,250,000 ₪",10792-207-1,דירה בבית קומות,7,לא ידוע,1988,"18,056 ₪",1
פרץ ברנשטיין 2,110,03/04/2016,"2,300,000 ₪",10794-101-2,דירה בבית קומות,4,ראשונה,1980,"20,909 ₪",1
אלברט שוויצר 29,117.73,27/03/2016,"2,650,000 ₪",10793-79-2,דירה בבית קומות,5,ראשונה,1990,"22,509 ₪",3
ללא כתובת,70,18/03/2016,"1,145,000 ₪",10794-18-1,דירה בבית קומות,3,רביעית,0,"16,357 ₪",0
ראול ולנברג 16,110,21/02/2016,"1,840,000 ₪",10794-133-5,דירה בבית קומות,5,ראשונה,1989,"16,727 ₪",2
פרויד 20,88.81,17/02/2016,"1,615,000 ₪",10785-68-12,דירה בבית קומות,4,שלישית,1996,"18,185 ₪",4
ראול ולנברג 4,149.23,15/12/2015,"2,600,000 ₪",10794-127-5,דירה בבית קומות,5,רביעית,1989,"17,423 ₪",5
ראול ולנברג 16,120,08/12/2015,"1,779,000 ₪",10794-133-4,דירה בבית קומות,4,שניה,1989,"14,825 ₪",2
ראול ולנברג 21,130,17/11/2015,"2,460,000 ₪",10792-200-1,דירה בבית קומות,5,לא ידוע,1987,"18,923 ₪",1
ראול ולנברג 15,123.15,29/10/2015,"1,950,000 ₪",10794-141-10,דירה בבית קומות,5,ראשונה,1990,"15,834 ₪",2
ראול ולנברג 4,140.9,21/10/2015,"2,250,000 ₪",10794-127-4,דירה בבית קומות,5,שלישית,1989,"15,969 ₪",5
מארק שאגאל 21,170,12/10/2015,"2,950,000 ₪",10794-94-2,דירה בבית קומות,6,רביעית,2005,"17,353 ₪",1
אלברט שוויצר 60,117.67,31/07/2015,"2,460,000 ₪",10792-154-3,דירה בבית קומות,5,ראשונה ושניה,1991,"21,026 ₪",1
אלברט שוויצר 60,117.67,07/07/2005,"1,542,000 ₪",10792-154-3,דירה בבית קומות,5,ראשונה ושניה,1991,"21,026 ₪",1
אלברט שוויצר 66,140.26,15/07/2015,"2,660,000 ₪",10792-196-7,דירה בבית קומות,5,שניה,1996,"18,965 ₪",6
ראול ולנברג 16,120,21/06/2015,"1,890,000 ₪",10794-133-7,דירה בבית קומות,4.5,שלישית,1989,"15,750 ₪",2
ראול ולנברג 24,165.26,09/06/2015,"2,700,000 ₪",10794-137-2,דירה בבית קומות,5,קרקע+שניה,2002,"16,338 ₪",2
ראול ולנברג 36,103.8,20/05/2015,"2,060,000 ₪",10788-26-2,דירה בבית קומות,5,ראשונה,1994,"19,846 ₪",3
פרויד 18,141.3,20/04/2015,"1,774,000 ₪",10785-69-2,דירה בבית קומות,5,שניה,1980,"12,555 ₪",5
אלברט שוויצר 59,124.2,30/03/2015,"2,250,000 ₪",10792-160-3,דירה בבית קומות,5,קרקע + ראשונה,1994,"18,116 ₪",0
פרץ ברנשטיין 10,126.08,11/03/2015,"3,340,000 ₪",10794-117-2,דירה בבית קומות,5,שניה,2010,"26,508 ₪",3
פרץ ברנשטיין 10,126.08,31/05/2011,"2,200,000 ₪",10794-117-2,דירה בבית קומות,5,שניה,2010,"26,508 ₪",3
גיבורי גטו ורשה 6,117.01,11/03/2015,"2,200,000 ₪",10792-202-4,דירה בבית קומות,5,ראשונה,2000,"18,802 ₪",2
מארק שאגאל 9,148.64,23/02/2015,"2,580,000 ₪",10794-88-4,דירה בבית קומות,6,שלישית ורביעית,1990,"17,357 ₪",4
אלברט שוויצר 33,130.39,18/02/2015,"1,790,000 ₪",10793-55-8,דירה בבית קומות,6,שניה ושלישית,1990,"13,728 ₪",3
ראול ולנברג 34,110,29/01/2015,"1,999,000 ₪",10787-137-1,דירה בבית קומות,4,לא ידוע,1980,"18,173 ₪",3
פרויד 42,83.1,28/01/2015,"1,330,000 ₪",10794-178-20,דירה בבית קומות,4,קומה 5,1980,"16,005 ₪",8
אלברט שוויצר 65,130,20/01/2015,"1,989,000 ₪",10792-190-2,דירת גג,5,ראשונה,1990,"15,300 ₪",1
אלברט שוויצר 7,155,19/01/2015,"2,010,000 ₪",10794-107-1,דירה בבית קומות,5,"קרקע, ראשונה, שניה",1991,"12,968 ₪",3
פרויד 39,87.33,13/01/2015,"1,468,000 ₪",10785-53-4,דירה בבית קומות,4,שלישית,2009,"16,874 ₪",4
פרויד 39,87.33,04/11/2009,"969,000 ₪",10785-53-4,דירה בבית קומות,4,שלישית,2009,"16,874 ₪",4
פרץ ברנשטיין 19,99.54,12/01/2015,"2,150,000 ₪",10792-120-2,דירה בבית קומות,4,ראשונה,2004,"21,599 ₪",2
אלברט שוויצר 23,86.46,30/12/2014,"1,434,000 ₪",10793-83-7,דירה בבית קומות,3,ראשונה שניה שלישית,1986,"16,674 ₪",2
אלברט שוויצר 23,86.46,24/11/2011,"1,040,000 ₪",10793-83-7,דירה בבית קומות,3,ראשונה שניה שלישית,1986,"16,674 ₪",2
פרץ ברנשטיין 1,107.21,30/11/2014,"1,665,000 ₪",10794-97-1,דירה בבית קומות,4,ראשונה,1990,"15,530 ₪",2
ראול ולנברג 43,129,17/11/2014,"2,000,000 ₪",10792-166-1,קוטג' טורי,5,ראשונה,1991,"15,504 ₪",1
ללא כתובת,95,09/11/2014,"1,270,000 ₪",10794-15-4,דירה בבית קומות,4,שניה,0,"13,368 ₪",0
פרויד 20,114.78,30/09/2014,"1,760,000 ₪",10785-68-7,דירה בבית קומות,4,רביעית וחמישית,1996,"15,439 ₪",4
פרויד 20,114.78,27/10/1998,"1,102,000 ₪",10785-68-7,דירה בבית קומות,4,רביעית וחמישית,1996,"15,439 ₪",4
פרץ ברנשטיין 13,128.02,28/09/2014,"2,800,000 ₪",10792-270-1,דירה בבית קומות,5,קרקע,1986,"21,872 ₪",2
פרויד 28,139.22,17/09/2014,"1,999,000 ₪",10785-64-3,דירה בבית קומות,6,ראשונה,1960,"14,359 ₪",3
פרויד 28,97.79,17/09/2014,"1,860,000 ₪",10785-64-5,דירה בבית קומות,3,שניה,1960,"19,020 ₪",3
פרויד 28,52.93,17/09/2014,"339,000 ₪",10785-64-1,מחסנים,לא ידוע,מסד,1960,"6,405 ₪",3
פרויד 38,89.1,07/09/2014,"1,445,000 ₪",10785-44-4,דירה בבית קומות,4,ראשונה,1970,"16,218 ₪",3
מארק שאגאל 8,108.21,25/08/2014,"1,980,000 ₪",10794-96-3,דירה בבית קומות,6,קרקע ראשונה,1990,"18,298 ₪",1
ללא כתובת,142.73,17/08/2014,"2,140,000 ₪",10792-265-1,דירה בבית קומות,5,קרקע ראשונה ושניה,0,"14,993 ₪",0
פרויד 16,70.7,25/07/2014,"1,100,000 ₪",10785-70-3,דירה בבית קומות,3,ראשונה,1960,"15,559 ₪",2
פרויד 42,85.3,30/06/2014,"1,150,000 ₪",10794-178-25,דירה בבית קומות,4,קומה 7,1980,"13,529 ₪",8
פרויד 42,85.3,17/05/2001,"672,000 ₪",10794-178-25,דירה בבית קומות,4,קומה 7,1980,"13,529 ₪",8
פרויד 34,78.64,29/06/2014,"1,250,000 ₪",10785-42-1,דירה בבית קומות,3,קרקע,1970,"15,895 ₪",4
ללא כתובת,70,25/06/2014,"1,050,000 ₪",10785-74-2,דירה בבית קומות,3,לא ידוע,0,"15,000 ₪",0
פרויד 43,93.25,16/06/2014,"1,225,000 ₪",10785-95-5,דירה בבית קומות,4,שניה,1970,"13,137 ₪",3
פרויד 16,59.48,15/06/2014,"1,000,000 ₪",10785-70-8,דירה בבית קומות,3,קרקע,1960,"16,812 ₪",2
גיבורי גטו ורשה 6,161.36,25/05/2014,"2,850,000 ₪",10792-202-6,דירה בבית קומות,7,שניה ושלישית,2000,"17,702 ₪",2
גיבורי גטו ורשה 6,161.36,31/12/1999,"1,983,000 ₪",10792-202-6,דירה בבית קומות,7,שניה ושלישית,2000,"17,702 ₪",2
ראול ולנברג 3,148.89,13/05/2014,"2,070,000 ₪",10794-102-7,דירה בבית קומות,5,שלישית ורביעית,1996,"13,903 ₪",2
מארק שאגאל 9,143.91,25/04/2014,"2,000,000 ₪",10794-88-5,דירה בבית קומות,5,קרקע,1990,"13,986 ₪",4
מארק שאגאל 9,143.91,08/08/2004,"1,252,000 ₪",10794-88-5,דירה בבית קומות,5,קרקע,1990,"13,986 ₪",4
ראול ולנברג 44,124.16,20/04/2014,"1,900,000 ₪",10788-30-3,דירה בבית קומות,4,שניה,1992,"15,303 ₪",5
