כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
ללא כתובת,70,30/01/2017,"875,000 ₪",10867-3-97,דירה בבית קומות,3,רביעית,0,"12,500 ₪",0
ללא כתובת,100,29/01/2017,"875,000 ₪",10867-3-98,דירה בבית קומות,3,שניה,0,"8,750 ₪",0
ללא כתובת,90,26/01/2017,"1,100,000 ₪",10867-15-1,דירה בבית קומות,4,ראשונה,0,"12,222 ₪",0
ללא כתובת,93,26/01/2017,"960,000 ₪",10867-3-17,דירה בבית קומות,4,חמישית,0,"10,323 ₪",0
ללא כתובת,76,26/01/2017,"890,000 ₪",10867-3-16,דירה,3,לא ידוע,0,"11,711 ₪",0
ללא כתובת,76,26/01/2017,"880,000 ₪",10867-3-15,דירה,3,לא ידוע,0,"11,579 ₪",0
ללא כתובת,93,26/01/2017,"1,100,000 ₪",10867-3-18,דירת גן,4,לא ידוע,0,"11,828 ₪",0
ללא כתובת,93,25/01/2017,"950,000 ₪",10867-3-14,דירה,4,לא ידוע,0,"10,215 ₪",0
ללא כתובת,76,24/01/2017,"885,000 ₪",10867-3-13,דירה,3,לא ידוע,0,"11,645 ₪",0
ללא כתובת,93,23/01/2017,"975,000 ₪",10867-3-12,דירה בבית קומות,4,שלישית,0,"10,484 ₪",0
הנגב 27,210,22/01/2017,"1,966,000 ₪",10867-17-1,בניני ציבור,לא ידוע,ראשונה,0,"9,362 ₪",0
ללא כתובת,93,22/01/2017,"1,115,000 ₪",10867-3-11,דירה בבית קומות,4,ראשונה,0,"11,989 ₪",0
ללא כתובת,93,19/01/2017,"965,000 ₪",10867-3-9,דירה בבית קומות,4,רביעית,0,"10,376 ₪",0
ללא כתובת,100,19/01/2017,"1,100,000 ₪",10867-3-103,דירת גן,4,רביעית,0,"11,000 ₪",0
ללא כתובת,93,18/01/2017,"975,000 ₪",10867-3-7,דירה בבית קומות,4,רביעית,0,"10,484 ₪",0
ללא כתובת,76,18/01/2017,"990,000 ₪",10867-3-8,דירת גן,3,ראשונה,0,"13,026 ₪",0
ללא כתובת,93,18/01/2017,"965,000 ₪",10867-3-6,דירה,4,לא ידוע,0,"10,376 ₪",0
ללא כתובת,76,17/01/2017,"850,000 ₪",10867-3-5,דירה בבית קומות,3,שישית,0,"11,184 ₪",0
ללא כתובת,93,16/01/2017,"975,000 ₪",10867-3-4,דירה,4,לא ידוע,0,"10,484 ₪",0
ללא כתובת,76,15/01/2017,"875,000 ₪",10867-3-3,דירה בבית קומות,3,שניה,0,"11,513 ₪",0
ללא כתובת,93,12/01/2017,"970,000 ₪",10867-3-2,דירה בבית קומות,4,רביעית,0,"10,430 ₪",0
מקור ברוך 3,33.8,08/01/2017,"600,000 ₪",11188-77-27,דירה בבית קומות,2,שניה,1950,"17,751 ₪",2
ללא כתובת,94,08/01/2017,"965,000 ₪",10867-3-111,דירה בבית קומות,4,שלישית,0,"10,266 ₪",0
ללא כתובת,94,05/01/2017,"965,000 ₪",10867-3-112,דירה בבית קומות,4,ראשונה,0,"10,266 ₪",0
ללא כתובת,133,12/12/2016,"2,180,000 ₪",11188-9-2,דירה בבית קומות,5,שמינית,0,"16,391 ₪",0
זבולון 15,55,11/12/2016,"490,000 ₪",10907-36-24,דירה בבית קומות,3,ראשונה,1950,"8,909 ₪",3
אהבת ישראל 12,83.29,08/12/2016,"980,000 ₪",11188-129-14,דירה בבית קומות,3,שישית,2007,"11,807 ₪",8
אהבת ישראל 12,83.29,19/03/2010,"600,000 ₪",11188-129-14,דירה בבית קומות,3,שישית,2007,"11,807 ₪",8
מקור ברוך 8,54.9,29/11/2016,"820,000 ₪",11188-98-15,דירה בבית קומות,3,שלישית,1960,"15,185 ₪",3
מקור ברוך 8,54.9,21/03/2016,"800,000 ₪",11188-98-15,דירה בבית קומות,3,שלישית,1960,"15,185 ₪",3
זבולון 15,25,27/11/2016,"200,000 ₪",10907-36-25,דירה בבית קומות,2,לא ידוע,1950,"8,000 ₪",3
ללא כתובת,127,09/10/2016,"1,870,000 ₪",11188-9-1,דירה בבית קומות,5,שלישית,0,"14,724 ₪",0
מקור ברוך 13,85,23/08/2016,"550,000 ₪",11188-144-1,דירה בבית קומות,4,לא ידוע,1990,"6,471 ₪",1
"האר""י 16",37.7,04/08/2016,"600,000 ₪",11188-116-10,דירה בבית קומות,2,קרקע,1960,"16,216 ₪",3
"האר""י 16",37.7,16/06/2011,"305,000 ₪",11188-116-10,דירה בבית קומות,2,קרקע,1960,"16,216 ₪",3
"האר""י 6",76.3,30/06/2016,"400,000 ₪",11188-118-22,דירה בבית קומות,3,שניה,1970,"5,242 ₪",3
זבולון 15,27,27/06/2016,"160,000 ₪",10907-36-26,דירה בבית קומות,1,לא ידוע,1950,"5,926 ₪",3
מקור ברוך 8,55.1,07/06/2016,"885,000 ₪",11188-98-6,דירה בבית קומות,3,ראשונה,1960,"16,062 ₪",3
הרב קניאל 11,81.5,05/06/2016,"1,000,000 ₪",10870-98-34,דירה בבית קומות,4,שישית,1970,"12,270 ₪",22
ללא כתובת,50.08,31/03/2016,"490,000 ₪",10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,28/01/1999,"365,000 ₪",10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,31/03/2016,חלק נמכר,10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,מחיר,1,10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,7%,"34,300 ₪",10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,2,7%,10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,"34,300 ₪",3,10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,4,78%,10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
ללא כתובת,50.08,"382,200 ₪","490,000 ₪",10867-127-4,דירה בבית קומות,2,קרקע,0,"9,800 ₪",0
הרב קניאל 1,78,08/02/2016,"1,125,000 ₪",10870-99-8,דירה בבית קומות,4,שניה,1970,"14,423 ₪",4
אהבת ישראל 4,85,26/01/2016,"1,000,000 ₪",11188-1-9,דירה בבית קומות,4,ראשונה,2000,"11,765 ₪",8
אהבת ישראל 6,115,11/01/2016,"1,450,000 ₪",11188-1-8,דירה בבית קומות,6,שמינית,2000,"12,609 ₪",8
ללא כתובת,50.08,29/12/2015,"465,000 ₪",10867-127-10,דירה בבית קומות,3,שלישית,0,"9,300 ₪",0
ללא כתובת,50.08,10/04/2011,"297,000 ₪",10867-127-10,דירה בבית קומות,3,שלישית,0,"9,300 ₪",0
אהבת ישראל 14,82.6,15/12/2015,"900,000 ₪",11188-130-17,דירה בבית קומות,3,שמינית,2010,"10,976 ₪",8
אהבת ישראל 14,82.6,04/11/2010,"590,000 ₪",11188-130-17,דירה בבית קומות,3,שמינית,2010,"10,976 ₪",8
"האר""י 10",75.3,26/11/2015,"785,000 ₪",11188-117-11,דירה בבית קומות,3,ראשונה,1960,"10,425 ₪",3
"האר""י 10",75.3,11/10/2015,"790,000 ₪",11188-117-16,דירה בבית קומות,3,שלישית,1960,"10,491 ₪",3
ללא כתובת,50.08,08/10/2015,"537,000 ₪",10867-127-5,דירה בבית קומות,2.5,ראשונה,0,"10,740 ₪",0
ללא כתובת,50.08,06/07/2013,"440,000 ₪",10867-127-5,דירה בבית קומות,2.5,ראשונה,0,"10,740 ₪",0
