כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
חן 44,69.85,01/04/2021,"900,000 ₪",12461-20-10,דירה בבית קומות,3,שלישית,1960,"12,885 ₪",3
התיכון 53,28.7,25/03/2021,"730,000 ₪",10882-79-2,דירת גן,2,קרקע,1960,"25,436 ₪",3
חן 55,120,25/03/2021,"1,789,000 ₪",10878-50-56,דירה,5,לא ידוע,2017,"14,908 ₪",12
חן 55,120,25/03/2021,"1,790,000 ₪",10878-50-55,דירה בבית קומות,5,שמינית,2017,"14,917 ₪",12
ציון 3,65.5,24/03/2021,"1,000,000 ₪",10882-66-5,דירת גן,3,שניה,1960,"15,267 ₪",2
חן 55,97,22/03/2021,"1,480,000 ₪",10878-50-54,דירה,4,שמינית,2017,"15,258 ₪",12
מימון 32,54,22/03/2021,"885,000 ₪",10892-63-9,דירה בבית קומות,3,רביעית,1960,"16,389 ₪",4
מימון 32,54,16/07/2013,"765,000 ₪",10892-63-9,דירה בבית קומות,3,רביעית,1960,"16,389 ₪",4
אשר 9,88,21/03/2021,"1,405,000 ₪",12463-3-2,דירת גן,4,שניה,1970,"15,966 ₪",4
גדליהו 5,62.8,21/03/2021,"900,000 ₪",12447-10-11,דירה בבית קומות,3,שלישית,1960,"14,516 ₪",6
גדליהו 5,62.8,28/08/2014,"580,000 ₪",12447-10-11,דירה בבית קומות,3,שלישית,1960,"14,516 ₪",6
התיכון 81,83.15,19/03/2021,"175,000 ₪",10892-1-1,דירה בבית קומות,3,קרקע,1960,"2,105 ₪",1
חן 50,53.37,18/03/2021,"970,000 ₪",12461-23-29,דירה בבית קומות,3,שלישית,1960,"18,175 ₪",3
שאול 45,58.7,15/03/2021,"1,180,000 ₪",10885-39-4,דירה בבית קומות,3,ראשונה,1960,"20,102 ₪",2
גדליהו 7,62.8,11/03/2021,"920,000 ₪",12447-9-11,דירה בבית קומות,3,שלישית,1970,"14,650 ₪",6
מימון 42,36.9,04/03/2021,"640,000 ₪",12447-3-4,דירה בבית קומות,2,שלישית,1960,"17,344 ₪",6
חן 33,92.2,04/03/2021,"1,390,000 ₪",10878-76-81,דירה בבית קומות,4,שמינית,2002,"15,109 ₪",9
חן 33,92.2,25/12/2008,"686,000 ₪",10878-76-81,דירה בבית קומות,4,שמינית,2002,"15,109 ₪",9
חן 33,92.2,29/11/2000,"675,000 ₪",10878-76-81,דירה בבית קומות,4,שמינית,2002,"15,109 ₪",9
