כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
פאר 66,51.2,19/12/2022,חלק נמכר,11720-42-1,דירה בבית קומות,3,קרקע,1960,"17,255 ₪",3
פאר 66,51.2,מחיר,1,11720-42-1,דירה בבית קומות,3,קרקע,1960,"17,255 ₪",3
פאר 66,51.2,50%,"440,000 ₪",11720-42-1,דירה בבית קומות,3,קרקע,1960,"17,255 ₪",3
פאר 66,51.2,2,50%,11720-42-1,דירה בבית קומות,3,קרקע,1960,"17,255 ₪",3
פאר 66,51.2,"440,000 ₪","880,000 ₪",11720-42-1,דירה בבית קומות,3,קרקע,1960,"17,255 ₪",3
פאר 37,46.8,16/12/2022,"790,000 ₪",12483-28-2,דירה בבית קומות,3,קרקע,1960,"16,880 ₪",4
יד לבנים 26,54.6,07/12/2022,"240,000 ₪",12484-2-11,דירה בבית קומות,3,שלישית,1960,"4,444 ₪",3
פאר 44,51.1,05/12/2022,"750,000 ₪",11720-34-10,דירה בבית קומות,2,שלישית,1960,"14,677 ₪",4
דוד רזיאל 57,42.2,05/12/2022,"650,000 ₪",12483-2-19,דירה בבית קומות,3,חמישית,1999,"15,403 ₪",8
דוד רזיאל 57,21.4,04/12/2022,"275,000 ₪",12483-2-13,דירה בבית קומות,2,רביעית,1999,"12,850 ₪",8
דוד רזיאל 57,23.2,04/12/2022,"560,000 ₪",12483-2-7,דירה בבית קומות,2,שלישית,1999,"24,138 ₪",8
דוד רזיאל 57,21.4,30/11/2022,"275,000 ₪",12483-2-8,דירה בבית קומות,2,שלישית,1999,"12,850 ₪",8
דוד רזיאל 57,42.2,30/11/2022,"650,000 ₪",12483-2-14,דירה בבית קומות,3,רביעית,1999,"15,403 ₪",8
דוד רזיאל 57,23.2,30/11/2022,"550,000 ₪",12483-2-17,דירה בבית קומות,1.5,חמישית,1999,"23,707 ₪",8
דוד רזיאל 57,31.2,30/11/2022,"350,000 ₪",12483-2-5,דירה בבית קומות,2,שניה,1999,"11,218 ₪",8
יד לבנים 154,48.15,29/11/2022,"350,000 ₪",11720-36-16,דירה בבית קומות,2,שלישית,1960,"7,269 ₪",3
פאר 46,47.8,29/11/2022,"700,000 ₪",11720-34-3,דירה בבית קומות,2,ראשונה,1960,"14,644 ₪",4
פאר 27,65,28/11/2022,"990,000 ₪",12483-23-7,דירה בבית קומות,3,רביעית,2020,"15,231 ₪",2
פאר 34,48.39,14/11/2022,"103,000 ₪",12497-5-5,דירה בבית קומות,3,-,1960,"2,129 ₪",6
יד לבנים 144,50,10/11/2022,"820,000 ₪",11720-39-51,דירה בבית קומות,2,שלישית,1960,"16,400 ₪",5
דוד רזיאל 49,61.5,03/11/2022,"890,000 ₪",12484-11-2,דירה בבית קומות,3.5,ראשונה,1960,"14,472 ₪",2
דוד רזיאל 57,21.8,31/10/2022,"540,000 ₪",12483-2-6,דירה בבית קומות,1.5,שלישית,1999,"24,771 ₪",8
יד לבנים 76,לא ידוע,31/10/2022,"395,000 ₪",11720-20-6,מחסנים,לא ידוע,קומה 2,1960,לא ידוע,3
הירדן 31,59.7,20/10/2022,"670,000 ₪",12485-8-7,דירה בבית קומות,3,ראשונה,1970,"11,223 ₪",4
פאר 24,62.2,22/09/2022,"925,000 ₪",12497-1-3,דירה בבית קומות,4,ראשונה,1960,"14,919 ₪",3
פאר 24,62.2,02/11/2017,"450,000 ₪",12497-1-3,דירה בבית קומות,4,ראשונה,1960,"14,919 ₪",3
פאר 24,62.2,22/09/2022,חלק נמכר,12497-1-3,דירה בבית קומות,4,ראשונה,1960,"14,919 ₪",3
פאר 24,62.2,מחיר,1,12497-1-3,דירה בבית קומות,4,ראשונה,1960,"14,919 ₪",3
פאר 24,62.2,50%,"462,500 ₪",12497-1-3,דירה בבית קומות,4,ראשונה,1960,"14,919 ₪",3
פאר 24,62.2,2,50%,12497-1-3,דירה בבית קומות,4,ראשונה,1960,"14,919 ₪",3
