כתובת,"מ""ר",תאריך עסקה,מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,"מחיר למ""ר",קומות במבנה
שימקין 7,52.24,24/07/2024,"1,550,000 ₪",10797-17-1,דירה בבית קומות,3,קרקע,1970,"29,808 ₪",3
שימקין 7,52.24,24/07/2016,"1,040,000 ₪",10797-17-1,דירה בבית קומות,3,קרקע,1970,"29,808 ₪",3
היסמין 2,101.63,17/07/2024,"1,868,600 ₪",10796-157-80,דירה בבית קומות,4,עשירית,1980,"18,501 ₪",21
היסמין 2,101.63,04/09/2002,"920,000 ₪",10796-157-80,דירה בבית קומות,4,עשירית,1980,"18,501 ₪",21
היסמין 2,101.63,17/07/2024,חלק נמכר,10796-157-80,דירה בבית קומות,4,עשירית,1980,"18,501 ₪",21
היסמין 2,101.63,מחיר,1,10796-157-80,דירה בבית קומות,4,עשירית,1980,"18,501 ₪",21
היסמין 2,101.63,33%,"616,638 ₪",10796-157-80,דירה בבית קומות,4,עשירית,1980,"18,501 ₪",21
היסמין 2,101.63,2,33%,10796-157-80,דירה בבית קומות,4,עשירית,1980,"18,501 ₪",21
היסמין 2,101.63,"616,638 ₪",3,10796-157-80,דירה בבית קומות,4,עשירית,1980,"18,501 ₪",21
ללא כתובת,382,12/07/2024,"950,000 ₪",10680-41-2,מגורים,לא ידוע,לא ידוע,0,"2,487 ₪",0
ליונל ווטסון 4,90.1,02/07/2024,"2,150,000 ₪",10797-41-3,דירה בבית קומות,4.5,שניה,1970,"23,889 ₪",3
ליונל ווטסון 4,90.1,19/03/2017,"1,620,000 ₪",10797-41-3,דירה בבית קומות,4.5,שניה,1970,"23,889 ₪",3
ללא כתובת,1057,30/06/2024,"1,096,000 ₪",10680-18-2,קרקע למגורים,לא ידוע,לא ידוע,0,"1,037 ₪",0
שימקין 3,96.09,24/06/2024,"1,780,000 ₪",10797-149-2,דירה בבית קומות,4,ראשונה,1982,"18,524 ₪",4
בני ברית 6,187,21/06/2024,"3,200,000 ₪",10796-98-3,דירה בבית קומות,5,"מרתף,קרקע,ראשנה,שניה",1997,"17,112 ₪",3
בני ברית 6,187,11/09/2001,"1,064,000 ₪",10796-98-3,דירה בבית קומות,5,"מרתף,קרקע,ראשנה,שניה",1997,"17,112 ₪",3
ליונל ווטסון 11,88.7,19/06/2024,"2,280,000 ₪",10797-54-3,דירה בבית קומות,3,שניה,2023,"25,705 ₪",2
משה סורוקה 11,91.7,13/06/2024,"2,100,000 ₪",10797-61-5,דירה בבית קומות,4,שניה,1970,"22,901 ₪",2
ליונל ווטסון 4,100.2,09/06/2024,"2,300,000 ₪",10797-41-15,דירה בבית קומות,4,שניה,1970,"23,000 ₪",3
ליונל ווטסון 4,100.2,24/11/2002,"650,000 ₪",10797-41-15,דירה בבית קומות,4,שניה,1970,"23,000 ₪",3
אורי צבי גרינברג 19,137.2,30/05/2024,"3,200,000 ₪",10796-88-3,דירה בבית קומות,5,ראשונה ושניה,1980,"23,324 ₪",1
אידר 48,110,23/05/2024,"1,500,000 ₪",10795-4-4,דירה בבית קומות,4,שלישית,1980,"13,636 ₪",2
היסמין 2,109.26,12/05/2024,"1,820,000 ₪",10796-157-55,דירה בבית קומות,4,רביעית,1980,"16,697 ₪",21
היסמין 2,109.26,19/01/2015,"1,460,000 ₪",10796-157-55,דירה בבית קומות,4,רביעית,1980,"16,697 ₪",21
היסמין 2,109.26,09/07/2004,"716,000 ₪",10796-157-55,דירה בבית קומות,4,רביעית,1980,"16,697 ₪",21
ליונל ווטסון 3,130,08/05/2024,"3,100,000 ₪",10797-50-8,דירה בבית קומות,5,קומה 0,1970,"23,846 ₪",3
משה סורוקה 27,89.91,14/04/2024,"2,350,000 ₪",10797-69-4,דירה בבית קומות,4,שניה,1970,"26,404 ₪",3
משה סורוקה 27,89.91,13/09/2021,"1,316,000 ₪",10797-69-4,דירה בבית קומות,4,שניה,1970,"26,404 ₪",3
שימקין 29,85.8,08/04/2024,"1,535,000 ₪",10797-31-5,דירה בבית קומות,3,שניה,1973,"17,890 ₪",3
ללא כתובת,64,03/04/2024,"440,000 ₪",10681-5-2,קרקע למגורים,לא ידוע,לא ידוע,0,"6,875 ₪",0
משה סורוקה 25,90.6,31/03/2024,"1,770,000 ₪",10797-68-2,דירה בבית קומות,4,ראשונה,1970,"19,536 ₪",3
ללא כתובת,111,29/03/2024,"500,000 ₪",10682-74-3,קרקע למגורים,לא ידוע,לא ידוע,0,"4,505 ₪",0
שימקין 9,171.99,19/03/2024,"3,700,000 ₪",10797-18-2,דירה בבית קומות,5.5,"קרקע,ראשו,שניה,שלישי",1990,"21,513 ₪",4
שימקין 34,93.12,18/03/2024,"1,450,000 ₪",10797-79-6,דירה בבית קומות,4,שלישית,1978,"15,591 ₪",3
